id;record_unique_identifier;channel_id;channel_code;channel_name;status;free_field_1;free_field_2;free_field_3;is_deleted
1;49ba6b5a-307c-40c7-97c6-349605b750d7;74444;50630;ABSAINTERNETBANKING;ACTIVE;Computers value-added tolerance;override;SDD empowering Soft;ACTIVE
2;d6496afd-c59a-48a9-80b1-d4f91fbca2de;15504;14417;USSD;ACTIVE;Awesome Bahamas olive;turquoise input;pixel;ACTIVE
3;f418445e-01f4-4ba9-8e73-5094075a54ce;33361;2168;ABSAINTERNETBANKING;INACTIVE;Orchestrator drive;Handmade copy;Greece Bypass invoice;ACTIVE
4;77aaeb69-dc71-4b7a-9ad7-c7030a815950;18179;85663;ABSAINTERNETBANKING;ACTIVE;calculate content;Web deposit Operative;engage;ACTIVE
5;e8f9fce8-ea1f-4e93-be7b-aa88e2c9b607;89594;40607;OVERTHECOUNTER;INACTIVE;invoice;incentivize;services Refined;INACTIVE
6;e3b0e546-e4d1-41a6-ae74-04e84bf28a09;79192;84946;ABSAINTERNETBANKING;INACTIVE;driver;Rhode ubiquitous optical;Namibia iterate;ACTIVE
7;25782a35-6276-480d-811e-c8753b733b10;91855;74802;MOBILEAPP;INACTIVE;definition;Hryvnia;Vatu azure;INACTIVE
8;18e3ef3a-43a6-408d-ae39-0b6d7a20de8e;77043;58166;POINTOFSALE;INACTIVE;generation Tuna Avon;circuit;transmitter niches;ACTIVE
9;10932a5f-f49b-4093-bd32-504781bc42f7;77715;52267;ABSAINTERNETBANKING;INACTIVE;red;Falls Handcrafted;Handcrafted;ACTIVE
10;66ff5b31-9036-4ad4-b7b4-abde1e5dc253;25622;13949;POINTOFSALE;INACTIVE;communities program Washington;multi-byte olive matrix;Baby Rubber;INACTIVE
