id;record_unique_identifier;payment_id;payment_code;customer_id;fee_amount;is_amount_fixed;fee_description;fixed_amount;payment_name;outstanding_amount;payment_channel;free_field_1;free_field_2;free_field_3
1;529856d2-c843-4912-8217-65ce8d3b0675;46570;76430;hack;71932;INACTIVE;Alabama PNG Avon;Wooden Wooden syndicate;Swedish Berkshire;92619;ABSAINTERNETBANKING;Soft enhance;Steel haptic Key;Accountability
2;ad448e30-5584-4eeb-8ff8-3ccc3d6a0bb9;38118;86421;synergies;54932;INACTIVE;Pass;Awesome Metrics Azerbaijan;program withdrawal;57733;ABSAINTERNETBANKING;and;connecting;Virginia Lari
3;b0fccdce-6784-4a26-b9c4-40bcf0390ca1;22516;48318;payment feed methodology;22127;INACTIVE;deposit incubate;Strategist EXE;pixel;42519;POINTOFSALE;hack Incredible program;Dollar South Handcrafted;Soap
4;4d36aaa3-5f4f-43bf-9881-8fa402c7133e;55712;19828;Pizza Card;51259;INACTIVE;Islands Home;Future-proofed Oregon;Computer Metal Representative;29849;MOBILEAPP;Savings;drive;redundant Dollar
5;d7b5fbc3-8e56-447a-bf45-5487ac044565;384;64019;Berkshire;34658;INACTIVE;Account Loan;Implementation Islands;Clothing;98517;OVERTHECOUNTER;mobile mobile;Skyway Clothing invoice;Metal
6;e31ff171-4d3f-4b01-9fef-d9a09d908400;6626;58534;Auto software;17806;INACTIVE;Centers hacking;payment bandwidth XSS;drive Fully-configurable state;84245;OVERTHECOUNTER;Shirt;Soap tangible hack;value-added Springs multi-tasking
7;249d8f67-5df0-4821-b929-292b3c371529;79741;19675;District Sports;58715;ACTIVE;clicks-and-mortar;Account Account;Checking Metal auxiliary;62772;CHATBOT;secondary Electronics Trace;Computer Malawi;New toolset Specialist
8;d133e998-ffbd-40d1-abf7-360a260a814b;52178;58422;Web;52204;ACTIVE;infrastructures;parsing Organic;Account Enterprise-wide;41666;ABSAINTERNETBANKING;Rubber Intelligent Idaho;Incredible transmitter grow;technologies
9;2e10d93c-03dc-49c2-8b4f-98f46962dd14;58383;19033;Avon Home Plastic;90880;ACTIVE;input Planner;Pound Advanced Licensed;California mobile reboot;68781;ABSAINTERNETBANKING;Pitcairn;rich PNG Cameroon;Borders Accounts project
10;fc524256-e57d-4633-b4f6-16a35a779b6e;89457;69978;Chips Beauty Versatile;15406;ACTIVE;virtual Bike;invoice Interface;hub (Chagos instruction;12805;USSD;Nepal intangible management;Krona Gorgeous;Research state Chips
